BusinessUnit,CustomerNo,Salesperson,OrderLines,DiscountEUR,CategoryCode,CategoryLabel,CustCatDiscountEUR,PctOfCustomer
DK,40186474,DKR-DK,5,78.72058583430213,PA2_Manually,Manual Price Change,78.72058583430213,100.0
DK,40205895,DKR-DK,28,118.83764105019384,PA2_Manually,Manual Price Change,118.83764105019384,100.0
DK,40888877,B2B-DK,7,105.01539315015808,PA2_Manually,Manual Price Change,105.01539315015808,100.0
DK,40948222,MPE-DK,2,-82.10442963184263,PA2_Manually,Manual Price Change,-82.10442963184263,100.0
DK,40975656,CBE-DK,32,2295.081418625344,PA2_Manually,Manual Price Change,2295.081418625344,100.0
DK,42433411,BVA-DK,1,0.3965648906097186,PA2_Manually,Manual Price Change,0.3965648906097186,100.0
DK,42442400,B2B-DK,2,40.224722114211396,PA2_Manually,Manual Price Change,121.27861542355154,33.17
DK,42442400,DKR-DK,2,81.05389330934014,PA2_Manually,Manual Price Change,121.27861542355154,66.83
DK,42601200,SEC-DK,1,5.706969822905633,PA2_Manually,Manual Price Change,5.706969822905633,100.0
DK,42721922,CHA-DK,1,135.5157852402975,PA2_Manually,Manual Price Change,135.5157852402975,100.0
DK,43204700,BVA-DK,17,1799.0922824841148,PA2_Manually,Manual Price Change,6629.554019867334,27.14
DK,43204700,FRA-DK,60,4830.46173738322,PA2_Manually,Manual Price Change,6629.554019867334,72.86
DK,43221100,LVE-DK,15,243.80261676229287,PA2_Manually,Manual Price Change,861.2434460142322,28.31
DK,43221100,SGL-DK,6,617.4408292519394,PA2_Manually,Manual Price Change,861.2434460142322,71.69
DK,43324700,MRO-DK,5,-1951.4866593589268,PA2_Manually,Manual Price Change,-1189.6174122674693,164.04
DK,43324700,SLI-DK,2,761.8692470914575,PA2_Manually,Manual Price Change,-1189.6174122674693,-64.04
DK,43434388A,LVE-DK,2,267.6248190057381,PA2_Manually,Manual Price Change,267.6248190057381,100.0
DK,43666768,CBE-DK,13,1870.2460374710317,PA2_Manually,Manual Price Change,1870.2460374710317,100.0
DK,43668888,LBN-DK,17,51272.66278021828,PA2_Manually,Manual Price Change,51554.54786420018,99.45
DK,43668888,LVE-DK,1,8.581504176778985,PA2_Manually,Manual Price Change,51554.54786420018,0.02
DK,43668888,SGL-DK,1,273.3035798051278,PA2_Manually,Manual Price Change,51554.54786420018,0.53
DK,43692725A,CBE-DK,14,5121.655508743477,PA2_Manually,Manual Price Change,5121.655508743477,100.0
DK,43865000,LBN-DK,12,-121.02869380889382,PA2_Manually,Manual Price Change,-104.15647562653493,116.2
DK,43865000,LVE-DK,3,16.872218182358893,PA2_Manually,Manual Price Change,-104.15647562653493,-16.2
DK,44579300,SGL-DK,10,2423.584644895265,PA2_Manually,Manual Price Change,2423.584644895265,100.0
DK,44683456,B2B-DK,1,2.501071122536427,PA2_Manually,Manual Price Change,2.501071122536427,100.0
DK,44774477,MPE-DK,17,1772.2729705362822,PA2_Manually,Manual Price Change,1772.2729705362822,100.0
DK,44835000,AHE-DK,250,71963.37656355169,PA2_Manually,Manual Price Change,71963.37656355169,100.0
DK,44841444A,SEC-DK,8,203.24940844484163,PA2_Manually,Manual Price Change,203.24940844484163,100.0
DK,44882900,B2B-DK,1,488.4213204086279,PA2_Manually,Manual Price Change,488.4213204086279,100.0
DK,44951095,FGI-DK,3,1060.9216213168982,PA2_Manually,Manual Price Change,1283.0456573066153,82.69
